Operation,Dataset Type,Number of Lines,Time (ms)
Insert,Sorted,100,0.29
Search,Sorted,100,0.07
Delete,Sorted,100,0.29
Insert,Shuffled,100,0.06
Search,Shuffled,100,1.25
Delete,Shuffled,100,0.03
Insert,Reversed,100,0.07
Search,Reversed,100,0.02
Delete,Reversed,100,0.03

Insert,Sorted,300,0.77
Search,Sorted,300,0.67
Delete,Sorted,300,0.11
Insert,Shuffled,300,1.23
Search,Shuffled,300,0.39
Delete,Shuffled,300,0.37
Insert,Reversed,300,0.04
Search,Reversed,300,0.03
Delete,Reversed,300,1.31

Insert,Sorted,500,3.29
Search,Sorted,500,1.05
Delete,Sorted,500,0.25
Insert,Shuffled,500,0.13
Search,Shuffled,500,0.37
Delete,Shuffled,500,0.72
Insert,Reversed,500,0.06
Search,Reversed,500,0.06
Delete,Reversed,500,0.10

Insert,Sorted,700,4.35
Search,Sorted,700,0.40
Delete,Sorted,700,1.29
Insert,Shuffled,700,0.19
Search,Shuffled,700,0.33
Delete,Shuffled,700,0.11
Insert,Reversed,700,0.08
Search,Reversed,700,0.24
Delete,Reversed,700,0.83

Insert,Sorted,900,4.21
Search,Sorted,900,1.40
Delete,Sorted,900,1.84
Insert,Shuffled,900,0.16
Search,Shuffled,900,0.11
Delete,Shuffled,900,0.18
Insert,Reversed,900,0.09
Search,Reversed,900,0.07
Delete,Reversed,900,0.07

Insert,Sorted,1100,4.22
Search,Sorted,1100,1.78
Delete,Sorted,1100,2.09
Insert,Shuffled,1100,0.30
Search,Shuffled,1100,0.13
Delete,Shuffled,1100,0.17
Insert,Reversed,1100,0.12
Search,Reversed,1100,0.08
Delete,Reversed,1100,0.74

Insert,Sorted,1300,4.89
Search,Sorted,1300,0.44
Delete,Sorted,1300,2.48
Insert,Shuffled,1300,0.24
Search,Shuffled,1300,1.00
Delete,Shuffled,1300,0.60
Insert,Reversed,1300,0.93
Search,Reversed,1300,0.12
Delete,Reversed,1300,0.11

Insert,Sorted,1500,4.10
Search,Sorted,1500,1.61
Delete,Sorted,1500,1.27
Insert,Shuffled,1500,0.58
Search,Shuffled,1500,0.19
Delete,Shuffled,1500,0.67
Insert,Reversed,1500,0.68
Search,Reversed,1500,0.58
Delete,Reversed,1500,0.71
